date,Kent,Unknown,Sussex,New Castle
01/21/2020,0,0,0,0
01/22/2020,0,0,0,0
01/23/2020,0,0,0,0
01/24/2020,0,0,0,0
01/25/2020,0,0,0,0
01/26/2020,0,0,0,0
01/27/2020,0,0,0,0
01/28/2020,0,0,0,0
01/29/2020,0,0,0,0
01/30/2020,0,0,0,0
01/31/2020,0,0,0,0
02/01/2020,0,0,0,0
02/02/2020,0,0,0,0
02/03/2020,0,0,0,0
02/04/2020,0,0,0,0
02/05/2020,0,0,0,0
02/06/2020,0,0,0,0
02/07/2020,0,0,0,0
02/08/2020,0,0,0,0
02/09/2020,0,0,0,0
02/10/2020,0,0,0,0
02/11/2020,0,0,0,0
02/12/2020,0,0,0,0
02/13/2020,0,0,0,0
02/14/2020,0,0,0,0
02/15/2020,0,0,0,0
02/16/2020,0,0,0,0
02/17/2020,0,0,0,0
02/18/2020,0,0,0,0
02/19/2020,0,0,0,0
02/20/2020,0,0,0,0
02/21/2020,0,0,0,0
02/22/2020,0,0,0,0
02/23/2020,0,0,0,0
02/24/2020,0,0,0,0
02/25/2020,0,0,0,0
02/26/2020,0,0,0,0
02/27/2020,0,0,0,0
02/28/2020,0,0,0,0
02/29/2020,0,0,0,0
03/01/2020,0,0,0,0
03/02/2020,0,0,0,0
03/03/2020,0,0,0,0
03/04/2020,0,0,0,0
03/05/2020,0,0,0,0
03/06/2020,0,0,0,0
03/07/2020,0,0,0,0
03/08/2020,0,0,0,0
03/09/2020,0,0,0,0
03/10/2020,0,0,0,0
03/11/2020,0,0,0,1
03/12/2020,0,0,0,4
03/13/2020,0,0,0,4
03/14/2020,0,0,0,4
03/15/2020,0,0,0,7
03/16/2020,0,0,0,8
03/17/2020,0,0,1,15
03/18/2020,3,0,3,20
03/19/2020,4,0,3,23
03/20/2020,4,0,7,28
03/21/2020,5,0,8,32
03/22/2020,5,0,12,39
03/23/2020,9,0,20,58
03/24/2020,10,0,23,71
03/25/2020,14,0,26,79
03/26/2020,19,0,33,91
03/27/2020,21,0,38,106
03/28/2020,25,0,59,130
03/29/2020,25,0,66,141
03/30/2020,27,0,81,156
03/31/2020,34,0,88,197
04/01/2020,41,0,101,226
04/02/2020,43,0,105,245
04/03/2020,54,0,117,279
04/04/2020,68,0,125,400
04/05/2020,86,0,151,436
04/06/2020,128,0,159,496
04/07/2020,147,0,210,571
04/08/2020,201,0,279,636
04/09/2020,214,0,294,701
04/10/2020,230,9,336,751
04/11/2020,255,13,404,807
04/12/2020,281,0,464,880
04/13/2020,288,3,551,919
04/14/2020,329,11,639,947
04/15/2020,345,17,678,974
04/16/2020,352,22,698,1003
04/17/2020,384,28,811,1100
04/18/2020,417,30,886,1205
04/19/2020,417,30,886,1205
04/20/2020,430,31,1055,1229
04/21/2020,459,30,1139,1303
04/22/2020,503,28,1317,1352
04/23/2020,539,3,1377,1389
04/24/2020,558,4,1394,1486
04/25/2020,579,3,1490,1504
04/26/2020,625,9,1801,1599
04/27/2020,652,11,1870,1629
04/28/2020,728,32,2114,1701
04/29/2020,743,26,2169,1717
04/30/2020,759,25,2216,1734
05/01/2020,773,24,2292,1829
05/02/2020,793,22,2359,1864
05/03/2020,821,23,2461,1903
05/04/2020,833,24,2497,1934
05/05/2020,847,25,2520,1979
05/06/2020,891,36,2764,2087
05/07/2020,945,30,2834,2130
05/08/2020,963,28,2936,2184
05/09/2020,985,27,2990,2275
05/10/2020,1016,41,3059,2331
05/11/2020,1044,40,3091,2390
05/12/2020,1060,36,3205,2440
05/13/2020,1084,36,3336,2496
05/14/2020,1115,45,3503,2560
05/15/2020,1146,43,3565,2619
05/16/2020,1176,46,3658,2667
05/17/2020,1197,52,3739,2682
05/18/2020,1219,51,3861,2738
05/19/2020,1238,50,3904,2845
05/20/2020,1253,48,3960,2933
05/21/2020,1281,46,4006,3053
05/22/2020,1296,53,4048,3132
05/23/2020,1315,53,4084,3238
05/24/2020,1340,57,4103,3309
05/25/2020,1356,55,4118,3436
05/26/2020,1368,58,4132,3508
05/27/2020,1374,54,4140,3528
05/28/2020,1392,53,4151,3575
05/29/2020,1401,51,4155,3629
05/30/2020,1432,52,4215,3723
05/31/2020,1436,51,4253,3758
06/01/2020,1440,55,4272,3838
06/02/2020,1450,53,4299,3883
06/03/2020,1451,53,4305,3903
06/04/2020,1454,53,4314,3925
06/05/2020,1465,49,4322,3937
06/06/2020,1496,12,4342,3995
06/07/2020,1511,15,4346,4070
06/08/2020,1513,11,4353,4095
06/09/2020,1522,12,4361,4125
06/10/2020,1530,14,4373,4139
06/11/2020,1543,13,4379,4171
06/12/2020,1544,16,4389,4224
06/13/2020,1554,15,4401,4259
06/14/2020,1557,14,4406,4287
06/15/2020,1565,14,4416,4345
06/16/2020,1573,16,4428,4386
06/17/2020,1579,14,4429,4422
06/18/2020,1584,14,4431,4470
06/19/2020,1602,17,4470,4522
06/20/2020,1606,19,4487,4569
06/21/2020,1613,20,4495,4647
06/22/2020,1620,17,4501,4682
06/23/2020,1624,17,4509,4697
06/24/2020,1628,19,4522,4720
06/25/2020,1630,21,4538,4791
06/26/2020,1635,23,4519,4840
06/27/2020,1652,26,4542,4871
06/28/2020,1663,30,4608,4925
06/29/2020,1672,36,4637,5031
06/30/2020,1690,38,4681,5065
07/01/2020,1699,42,4690,5079
07/02/2020,1716,53,4779,5183
07/03/2020,1730,69,4847,5277
07/04/2020,1735,73,4854,5334
07/05/2020,1746,81,4903,5398
07/06/2020,1761,91,4952,5489
07/07/2020,1784,98,4977,5555
07/08/2020,1790,101,4988,5583
07/09/2020,1795,102,5008,5626
07/10/2020,1815,104,5045,5688
