date,Buchanan,Carter,Chariton,Clay,Crawford,Dade,Daviess,Gasconade,Greene,Hickory,Iron,Joplin,Lincoln,Livingston,Maries,Montgomery,New Madrid,Oregon,Pike,Ralls,Ripley,Stoddard,Adair,Audrain,Bates,Butler,Clark,Clinton,Cooper,Douglas,Holt,Jasper,Lawrence,Lewis,Monroe,Morgan,Nodaway,Ozark,Pemiscot,Phelps,Randolph,Reynolds,Scott,Shannon,St. Francois,St. Louis,Sullivan,Washington,Webster,Worth,Wright,Barton,Bollinger,Cape Girardeau,Cedar,Christian,Dallas,DeKalb,Dunklin,Gentry,Henry,Jefferson,Kansas City,Lafayette,Macon,McDonald,Mercer,Miller,Mississippi,Newton,Osage,Pulaski,Putnam,Ray,Saline,Shelby,Ste. Genevieve,Texas,Vernon,Andrew,Atchison,Benton,Boone,Caldwell,Callaway,Camden,Carroll,Cass,Cole,Franklin,Grundy,Harrison,Howard,Howell,Jackson,Johnson,Knox,Laclede,Linn,Madison,Marion,Moniteau,Perry,Pettis,Platte,Polk,Schuyler,Scotland,St. Charles,St. Clair,St. Louis city,Stone,Unknown,Warren,Wayne,Taney,Dent,Barry
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2020,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
03/19/2020,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
03/20/2020,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,0,0,0,0,0
03/21/2020,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,1,0,0,0,0,0
03/22/2020,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,1,0,0,0,0,0
03/23/2020,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,68,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,6,5,0,0,0,0,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,15,0,1,0,0,1,0,0
03/24/2020,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,68,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,4,30,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,2,1,0,6,5,1,0,0,0,0,14,1,0,0,0,0,0,1,2,0,0,0,0,0,4,0,15,0,40,0,0,1,0,0
03/25/2020,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,129,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,5,51,2,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,20,0,2,1,0,8,6,3,0,0,0,0,17,2,0,0,0,0,0,2,2,0,2,0,0,0,18,0,53,0,4,0,0,1,0,0
03/26/2020,0,1,0,5,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,173,0,0,0,0,0,0,1,6,0,2,0,0,2,0,1,10,64,2,0,1,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,1,25,0,2,1,0,8,8,4,0,0,0,0,31,8,0,0,0,0,0,2,4,0,5,0,0,0,22,0,69,0,10,0,0,1,0,0
03/27/2020,2,1,1,9,0,0,0,0,31,0,0,0,2,0,0,3,0,0,0,1,0,1,2,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,4,247,0,0,0,0,1,0,1,6,0,3,0,0,3,0,1,15,78,4,0,1,0,0,0,3,0,4,0,1,0,1,0,0,0,0,1,1,37,0,3,1,0,8,10,4,0,0,0,0,41,8,0,0,0,0,0,2,6,1,5,0,0,0,32,0,72,0,2,0,0,1,0,1
03/28/2020,3,2,1,10,0,0,0,0,41,0,0,0,2,0,0,3,0,0,0,1,1,1,2,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,3,0,4,313,0,0,0,0,1,0,1,6,0,6,0,0,3,0,1,17,94,4,0,1,0,0,0,4,0,5,0,1,0,1,0,0,0,0,1,1,49,0,6,4,0,8,17,6,0,0,0,0,43,9,0,0,0,0,0,3,7,1,6,0,0,0,37,0,93,0,3,1,0,2,0,1
03/29/2020,3,2,1,11,0,0,0,0,41,0,0,0,2,0,0,3,0,0,0,1,2,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,3,0,4,336,0,0,0,0,3,0,1,6,0,7,0,0,3,0,1,17,102,4,0,1,0,0,0,4,0,5,0,1,0,1,0,0,0,0,1,1,50,0,8,7,0,8,17,7,0,0,0,0,48,9,0,0,0,0,0,4,7,1,6,0,0,0,43,0,97,0,6,2,0,2,0,1
03/30/2020,3,2,3,13,1,0,0,0,38,0,0,0,5,1,1,2,0,0,1,1,2,2,2,0,1,0,0,4,1,0,0,4,0,0,0,1,0,0,2,0,1,2,5,0,3,366,0,0,1,0,4,0,1,13,5,12,0,0,6,0,1,18,100,17,1,2,0,0,0,4,1,6,0,1,0,1,0,0,0,0,1,1,59,0,13,11,0,9,25,7,0,0,0,0,56,9,0,0,0,0,0,2,12,1,7,0,0,0,56,0,102,1,11,2,0,2,0,1
03/31/2020,5,4,4,16,1,0,0,0,49,0,0,0,7,1,1,2,0,0,1,1,2,3,2,0,1,0,0,4,2,0,0,4,0,0,0,1,0,0,2,0,2,2,6,0,5,492,0,0,2,0,4,0,1,15,3,11,0,0,5,0,1,30,119,19,3,2,0,0,0,5,1,7,0,1,0,1,2,0,0,0,1,2,64,0,14,12,0,14,23,13,0,1,0,0,77,10,0,0,0,0,0,2,14,1,9,0,0,0,95,0,136,1,1,5,0,2,0,1
04/01/2020,5,4,4,21,1,0,0,1,51,0,0,0,10,1,2,2,0,0,1,1,2,3,3,0,2,1,0,5,2,0,0,5,0,0,0,1,0,0,2,0,2,2,6,0,5,492,0,0,2,0,4,0,1,15,3,11,0,1,5,0,1,38,128,20,3,2,0,0,0,5,2,8,0,1,0,1,2,0,0,0,1,3,65,1,17,17,0,17,24,16,0,1,0,0,86,14,0,0,0,0,0,2,18,1,12,0,0,0,95,0,136,2,153,6,0,2,0,1
04/02/2020,5,4,4,23,1,0,0,1,54,0,0,0,12,1,2,2,1,0,1,1,2,6,6,0,2,1,0,6,2,0,0,5,0,0,0,1,0,0,3,0,2,2,6,0,9,712,0,0,2,0,6,0,1,15,3,12,0,1,6,0,1,47,139,20,3,2,0,0,0,6,2,8,0,1,0,1,3,0,0,0,1,3,69,1,18,19,0,21,25,19,0,2,0,1,103,26,0,0,0,0,0,2,19,1,13,0,0,0,105,0,216,2,2,7,0,2,0,1
04/03/2020,8,3,4,26,1,0,0,1,60,0,0,0,16,1,2,3,1,0,2,1,2,7,8,0,3,1,1,8,2,0,0,8,0,0,0,1,0,0,3,0,4,2,7,0,12,794,0,0,2,0,6,0,1,15,4,13,0,1,7,0,1,62,153,20,2,2,0,0,0,6,2,10,0,2,2,1,6,0,0,0,1,3,74,1,18,21,0,21,26,23,0,2,0,1,120,28,0,0,1,0,0,2,21,2,13,0,0,0,132,0,275,2,3,7,0,5,0,1
04/04/2020,8,3,4,32,2,0,0,2,62,0,0,0,16,1,2,4,1,0,2,1,2,7,10,0,3,2,1,7,2,0,0,8,0,0,0,1,1,0,3,0,7,2,7,0,14,864,0,0,3,0,6,0,1,16,4,16,0,1,7,0,1,69,172,26,2,2,0,0,0,6,2,10,0,3,2,1,6,0,0,0,1,3,75,1,18,20,0,22,28,24,0,2,0,1,135,29,0,0,1,0,0,2,22,2,14,0,0,0,143,0,287,2,9,7,0,5,0,1
04/05/2020,8,3,4,33,3,0,0,2,61,0,0,0,17,1,2,4,1,0,2,1,2,7,10,0,3,2,1,7,2,0,0,8,0,0,0,1,1,0,3,0,7,2,7,0,15,883,0,0,3,0,7,0,1,17,4,16,0,1,7,0,2,71,175,27,2,3,0,0,0,6,3,10,0,4,3,1,6,0,0,0,1,3,76,1,19,24,0,23,30,25,0,2,0,1,139,29,0,0,1,0,0,4,25,2,15,0,0,0,157,0,298,3,2,9,0,5,0,1
04/06/2020,11,3,4,37,3,0,0,2,66,0,0,0,18,1,2,5,2,0,2,1,2,7,10,0,3,2,1,8,2,0,0,9,0,0,0,1,2,0,3,1,7,2,10,0,17,1033,0,0,3,1,7,0,1,20,4,17,0,1,8,1,2,81,212,28,2,3,0,0,0,6,3,11,0,4,3,1,6,0,0,0,1,3,76,1,19,24,0,26,30,33,0,3,0,1,149,32,0,0,2,1,0,4,28,2,17,0,0,0,188,0,357,3,3,9,0,7,0,1
04/07/2020,14,3,4,37,3,0,0,2,67,0,0,0,21,1,2,5,5,1,2,1,2,8,11,0,3,5,1,8,2,0,0,9,0,0,0,1,2,0,3,1,7,2,10,0,19,1203,0,0,3,1,7,0,2,20,7,17,1,1,8,1,2,92,219,28,2,3,0,0,0,6,4,12,0,7,5,1,6,0,0,0,1,3,77,1,19,24,0,25,32,35,0,4,1,4,154,33,0,0,3,1,0,4,28,3,17,1,0,1,221,0,399,3,4,11,0,7,0,1
04/08/2020,16,3,4,37,5,0,0,2,71,0,0,0,25,1,2,5,5,1,4,1,2,8,11,0,4,6,1,11,2,0,0,10,0,0,0,1,2,0,4,1,7,2,11,0,20,1302,0,1,3,1,7,0,2,23,8,17,1,2,9,1,2,95,249,27,2,3,0,0,0,6,4,12,0,7,7,1,6,0,0,0,1,3,78,1,20,25,0,26,35,56,0,4,1,4,167,35,0,0,3,1,0,4,30,3,19,1,0,1,254,0,444,3,3,13,0,7,0,2
04/09/2020,17,3,4,38,4,0,0,2,72,0,0,0,25,1,2,6,6,1,5,1,2,9,11,0,4,6,1,9,3,0,0,11,0,0,0,1,2,0,4,1,7,2,13,0,20,1393,0,1,3,1,7,0,3,24,5,17,2,3,10,1,2,98,257,26,2,4,0,0,0,7,4,11,0,7,11,1,6,0,1,0,1,3,78,1,20,26,0,27,35,62,0,4,1,4,177,36,0,0,3,1,0,3,31,3,21,1,0,1,274,2,498,4,2,12,0,7,0,1
04/10/2020,20,3,4,40,4,0,0,2,71,0,0,0,25,1,2,6,6,1,5,1,3,9,11,0,6,10,1,10,3,0,0,13,0,0,0,1,2,0,4,1,8,2,13,0,20,1498,0,1,3,1,7,0,3,26,5,17,2,3,12,1,2,107,283,28,2,3,0,0,0,7,4,10,0,7,18,1,6,0,3,0,1,3,77,1,21,26,0,27,35,68,0,6,1,4,193,36,0,0,3,1,0,3,31,4,23,1,0,2,298,2,536,3,5,11,0,7,0,2
04/11/2020,20,3,4,46,4,0,0,2,71,0,1,0,26,1,2,6,6,1,6,1,3,9,11,0,6,13,1,11,4,0,0,13,0,0,0,1,2,0,4,1,8,2,14,0,21,1568,0,1,4,1,7,0,3,28,5,17,2,3,13,1,4,115,298,27,2,3,0,0,0,8,4,10,0,7,22,1,6,0,3,1,1,3,79,1,20,26,0,32,36,75,0,6,1,4,208,37,0,0,3,1,0,3,34,3,25,1,0,3,320,2,585,3,4,11,0,7,0,2
04/12/2020,20,3,4,48,4,0,0,2,71,0,1,0,26,1,2,6,8,1,6,1,3,9,11,0,6,13,1,11,4,0,0,13,0,0,0,1,2,0,4,1,8,2,15,0,23,1633,0,1,4,1,7,0,3,28,5,17,2,3,14,1,4,115,308,27,2,3,0,0,0,8,4,10,0,7,22,1,7,0,3,1,1,3,80,1,20,26,0,32,36,81,0,6,1,4,213,37,0,0,3,1,0,3,35,3,25,1,0,3,328,2,614,3,5,12,0,7,0,2
04/13/2020,22,3,4,51,4,0,0,2,71,0,1,0,26,1,2,6,8,1,6,1,3,11,11,0,6,16,1,11,4,0,0,21,0,0,0,1,2,0,8,1,8,2,24,0,23,1724,0,1,4,1,8,0,3,30,5,17,2,3,16,1,4,129,329,27,2,4,0,0,0,8,4,10,0,7,23,1,7,0,3,1,1,3,82,1,20,26,0,36,37,84,0,6,2,4,223,39,0,0,4,1,0,3,36,3,25,1,0,3,346,2,639,3,1,12,0,8,0,2
04/14/2020,22,3,4,51,5,0,0,2,73,0,1,0,27,2,2,6,8,1,6,1,3,12,11,0,6,16,1,11,4,0,0,21,0,0,0,1,3,0,8,1,8,2,25,0,22,1851,0,1,5,1,9,0,3,30,5,19,2,3,16,1,5,138,346,28,2,4,0,0,0,9,4,12,0,7,35,1,7,0,3,1,2,3,87,1,20,26,0,44,38,84,0,6,2,4,237,40,0,0,5,1,0,4,38,3,26,1,0,3,368,2,695,3,1,16,0,7,0,2
04/15/2020,26,3,4,52,5,0,1,2,78,0,1,0,28,2,2,6,8,1,6,1,3,13,12,0,6,17,1,11,4,0,1,22,0,0,0,1,3,0,11,1,8,2,26,0,22,1938,0,2,5,1,9,0,3,31,5,18,2,3,18,1,5,147,371,29,2,4,0,1,0,9,4,18,0,7,44,1,7,0,3,1,2,3,90,2,20,28,0,44,41,83,0,6,2,4,243,41,0,0,5,1,0,6,38,4,26,1,0,3,392,2,700,3,1,16,0,8,0,2
04/16/2020,26,3,4,52,5,0,2,2,81,0,1,0,29,2,2,6,8,1,6,1,3,13,12,0,6,21,1,11,4,0,1,22,0,0,0,2,3,0,11,1,8,2,41,0,23,2026,0,3,5,1,9,0,3,33,5,17,2,3,18,1,6,155,386,29,2,4,0,1,0,9,4,18,0,7,49,1,7,0,4,1,2,3,92,2,20,31,0,47,41,89,0,6,2,5,260,45,0,0,5,1,0,12,38,8,27,1,0,4,405,2,706,3,2,16,0,8,0,3
04/17/2020,28,3,4,55,6,0,2,2,83,0,1,0,30,2,2,7,8,1,6,1,3,15,12,0,6,22,1,11,4,0,1,22,0,0,0,2,3,0,11,1,8,2,42,0,24,2088,0,4,6,1,9,0,3,35,5,17,2,3,18,1,6,179,401,29,2,4,0,1,0,9,4,23,0,7,51,1,7,0,4,1,2,3,93,2,21,32,0,50,42,91,0,6,2,5,267,48,0,0,5,1,0,15,39,10,27,1,0,4,417,2,711,3,4,17,0,8,0,3
04/18/2020,30,3,4,56,5,0,2,2,84,0,1,0,31,2,2,7,8,1,6,1,4,16,12,0,6,23,1,11,4,0,1,22,0,1,0,2,3,0,12,1,8,2,49,0,23,2163,0,4,8,1,9,0,3,36,5,17,2,3,19,1,6,183,412,29,2,4,0,1,0,9,4,26,0,7,51,1,7,0,4,1,2,3,93,2,20,32,0,52,44,95,0,6,2,5,268,48,0,0,5,1,1,19,39,13,27,1,0,4,426,2,808,3,2,18,0,9,0,3
04/19/2020,31,3,4,57,5,0,2,2,84,0,2,0,31,2,1,7,9,1,6,1,3,18,12,1,6,23,1,11,4,0,1,22,0,1,0,2,3,0,13,1,8,2,51,0,23,2214,0,4,8,1,9,0,3,36,5,17,2,3,19,1,6,214,418,30,2,4,0,1,0,9,4,31,0,7,54,1,7,0,4,1,2,3,93,2,21,32,0,53,46,98,0,6,2,5,268,48,0,0,5,1,1,26,39,13,27,1,0,4,435,2,831,3,1,18,0,9,0,3
04/20/2020,32,3,4,59,5,0,2,2,85,0,2,0,33,2,1,7,9,1,6,1,3,18,12,1,6,24,1,11,4,0,1,22,0,1,0,2,3,0,13,1,8,2,50,0,23,2289,0,5,10,1,9,0,3,36,5,18,2,3,19,1,6,222,420,30,2,4,0,1,0,9,4,31,0,7,54,1,7,0,4,1,2,3,94,2,21,33,0,53,46,99,0,6,2,5,271,50,0,0,5,1,3,21,38,13,27,1,0,4,447,2,859,3,1,18,0,9,0,4
04/21/2020,33,3,4,61,5,0,2,2,84,0,2,0,34,2,2,7,9,1,6,1,3,19,12,1,6,24,1,11,5,0,1,22,0,1,0,2,3,0,13,1,8,2,52,0,24,2333,0,6,10,1,9,0,3,37,5,18,2,3,18,1,6,230,438,30,2,4,0,1,0,10,5,30,0,7,54,1,7,0,3,1,2,3,96,2,21,35,0,54,46,102,0,6,2,5,279,52,0,0,5,1,3,25,38,14,27,1,0,4,458,2,877,3,0,20,0,9,0,5
04/22/2020,35,3,4,61,5,0,2,2,83,0,2,0,37,2,2,7,9,1,6,1,4,19,12,1,6,24,1,11,5,0,1,22,0,1,0,3,3,0,17,1,8,2,59,0,24,2436,0,6,13,1,9,0,3,40,5,18,2,3,19,1,6,238,448,30,2,4,0,1,1,9,5,30,0,7,55,1,7,0,4,1,2,3,97,2,21,35,1,55,45,102,0,6,2,5,288,52,0,0,5,1,4,32,38,16,27,1,0,4,467,2,893,3,3,20,0,9,0,5
04/23/2020,43,3,4,62,6,0,2,2,82,0,2,0,35,2,2,7,9,1,6,1,4,19,12,1,6,26,1,11,5,0,1,22,0,6,0,3,3,0,18,1,8,2,59,0,25,2507,0,7,13,1,9,0,3,42,5,18,2,3,19,1,6,240,461,33,2,5,0,1,3,10,5,30,0,10,81,1,7,0,4,1,2,4,98,2,21,35,1,55,47,103,0,6,2,5,296,52,0,0,5,1,4,33,38,19,28,1,0,4,476,2,909,3,2,20,0,10,0,5
