date,Lyon,Storey,Unknown,Churchill,Douglas,Humboldt,Washoe,White Pine,Carson City,Lander,Mineral,Nye,Clark,Elko,Pershing,Lincoln,Eureka
01/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
03/06/2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
03/07/2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
03/08/2020,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
03/09/2020,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
03/10/2020,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
03/11/2020,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0
03/12/2020,0,0,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0
03/13/2020,0,0,0,0,0,0,2,0,1,0,0,0,16,0,0,0,0
03/14/2020,0,0,0,0,0,0,4,0,1,0,0,0,16,0,0,0,0
03/15/2020,0,0,0,0,0,0,9,0,1,0,0,0,16,0,0,0,0
03/16/2020,0,0,0,0,0,0,9,0,1,0,0,0,35,0,0,0,0
03/17/2020,0,0,0,0,0,0,12,0,1,0,0,0,42,0,0,0,0
03/18/2020,0,0,0,0,0,0,12,0,1,0,0,0,69,0,0,0,0
03/19/2020,0,0,4,0,0,0,18,0,2,0,0,0,74,1,0,0,0
03/20/2020,0,0,11,0,0,0,22,0,3,0,0,1,126,2,0,0,0
03/21/2020,0,0,11,0,0,0,22,0,3,0,0,1,126,2,0,0,0
03/22/2020,0,0,33,0,0,0,25,0,3,0,0,1,126,2,0,0,0
03/23/2020,0,0,82,0,1,0,25,0,3,0,0,1,151,2,0,0,0
03/24/2020,0,0,14,0,2,0,44,0,3,0,0,1,249,2,0,0,0
03/25/2020,1,0,89,0,3,0,57,0,3,0,0,1,249,2,0,0,0
03/26/2020,1,0,107,0,3,0,67,0,4,0,0,1,350,2,0,0,0
03/27/2020,1,0,91,0,4,0,75,0,4,0,0,1,443,2,0,0,0
03/28/2020,1,0,101,0,5,1,93,0,5,0,0,1,528,3,0,0,0
03/29/2020,1,0,269,0,5,1,107,0,5,0,0,1,528,3,0,0,0
03/30/2020,1,0,150,0,5,3,121,0,5,0,0,1,753,5,0,0,0
03/31/2020,1,0,103,0,5,3,121,0,5,0,0,1,869,5,0,0,0
04/01/2020,1,0,131,0,6,3,163,0,5,0,0,4,961,5,0,0,0
04/02/2020,2,0,142,0,6,3,163,0,8,0,0,4,1125,5,0,0,0
04/03/2020,2,0,0,0,7,9,229,0,9,0,0,7,1279,7,0,0,0
04/04/2020,3,0,52,0,7,9,245,0,10,0,0,7,1418,7,0,0,0
04/05/2020,3,0,52,0,7,11,264,0,10,0,0,7,1519,7,0,0,0
04/06/2020,4,0,32,0,7,14,281,0,11,0,0,7,1608,7,0,0,0
04/07/2020,4,0,0,0,8,14,309,0,13,0,0,11,1734,8,0,0,0
04/08/2020,4,0,53,0,9,14,326,0,14,0,0,11,1878,9,0,0,0
04/09/2020,4,0,20,0,9,16,363,1,14,0,0,11,2009,9,0,0,0
04/10/2020,7,0,0,0,10,18,389,1,16,0,0,10,2144,11,0,0,0
04/11/2020,7,0,0,0,10,18,389,1,16,0,0,10,2258,11,0,0,0
04/12/2020,7,0,0,0,10,20,461,1,16,0,0,10,2324,11,0,0,0
04/13/2020,10,0,0,1,10,20,500,3,22,0,0,15,2444,11,0,0,0
04/14/2020,10,0,0,1,10,20,532,3,23,0,0,18,2509,11,0,0,0
04/15/2020,11,0,0,1,13,20,549,3,25,0,0,20,2559,11,0,0,0
04/16/2020,12,0,16,1,13,22,572,3,26,0,0,20,2625,11,0,0,0
04/17/2020,12,0,80,3,14,26,588,3,27,0,0,21,2738,12,0,0,0
04/18/2020,16,0,6,3,15,26,606,3,28,0,1,28,2882,12,0,0,0
04/19/2020,16,0,0,3,15,27,637,3,28,0,1,28,2940,12,0,0,0
04/20/2020,18,0,34,3,15,27,662,3,28,0,1,29,2998,12,0,0,0
04/21/2020,18,0,10,3,15,34,684,3,28,1,1,29,3099,12,0,0,0
04/22/2020,18,0,9,3,15,34,710,3,28,1,1,29,3218,12,0,0,0
04/23/2020,22,0,1,3,17,34,736,3,33,1,1,31,3314,12,0,0,0
04/24/2020,22,0,43,3,17,34,755,3,33,1,1,31,3443,12,0,0,0
04/25/2020,23,0,16,3,18,36,791,3,34,1,1,31,3570,12,0,0,0
04/26/2020,26,0,0,3,19,36,804,3,37,1,1,31,3665,12,0,0,0
04/27/2020,26,0,0,3,19,36,820,3,39,1,1,31,3717,12,0,0,0
04/28/2020,27,0,0,3,19,37,834,3,44,1,1,35,3793,15,0,0,0
04/29/2020,27,0,0,3,19,38,848,3,44,7,4,35,3891,15,0,0,0
04/30/2020,28,0,0,3,19,40,873,3,45,7,4,37,3979,15,0,0,0
05/01/2020,29,0,0,3,20,44,921,3,47,8,4,37,4118,15,0,0,0
05/02/2020,33,0,0,3,21,44,949,3,48,8,4,37,4225,15,0,0,0
05/03/2020,34,0,0,3,21,49,977,3,48,8,4,37,4274,15,0,0,0
05/04/2020,34,0,0,3,21,53,988,3,48,8,4,39,4411,15,0,0,0
05/05/2020,35,0,0,5,22,53,1014,3,51,13,4,39,4411,15,0,0,0
05/06/2020,35,0,0,5,22,58,1022,3,51,14,4,42,4473,15,0,0,0
05/07/2020,36,0,0,5,22,58,1030,3,51,17,4,44,4573,15,0,0,0
05/08/2020,37,0,0,5,23,61,1065,3,51,17,4,44,4616,15,0,1,0
05/09/2020,37,0,0,5,23,65,1077,3,51,17,4,44,4704,15,0,1,0
05/10/2020,42,0,0,5,24,65,1095,3,55,17,4,44,4750,15,0,1,0
05/11/2020,42,0,8,5,24,69,1100,3,55,17,4,44,4762,18,0,1,0
05/12/2020,44,0,34,6,24,71,1116,3,56,17,4,48,4869,18,0,1,0
05/13/2020,48,0,0,6,24,71,1132,3,58,19,4,52,5045,18,0,2,0
05/14/2020,48,0,0,6,24,71,1154,3,58,19,4,53,5144,18,0,2,0
05/15/2020,48,0,0,6,24,71,1190,3,58,19,4,55,5235,18,0,2,0
05/16/2020,48,0,0,6,24,71,1202,3,58,19,4,55,5298,20,0,2,0
05/17/2020,48,0,0,6,24,74,1256,3,58,19,4,55,5366,20,0,2,0
05/18/2020,47,1,0,7,25,74,1266,3,71,19,4,56,5463,21,0,2,0
05/19/2020,49,1,0,7,25,74,1295,3,75,19,4,57,5536,22,0,2,0
05/20/2020,49,1,0,7,26,76,1305,4,77,19,4,59,5650,22,0,2,0
05/21/2020,51,1,0,7,26,77,1316,4,81,19,4,60,5734,22,0,2,0
05/22/2020,51,1,0,7,26,78,1356,4,83,22,4,60,5815,22,0,2,0
05/23/2020,51,1,0,7,26,78,1361,4,83,22,4,60,6048,22,0,2,0
05/24/2020,52,1,0,12,27,78,1378,3,85,22,4,60,6140,22,0,2,0
05/25/2020,55,1,0,12,27,78,1405,3,86,22,4,60,6182,22,0,2,0
05/26/2020,55,1,0,7,28,78,1459,3,90,22,4,62,6226,22,0,2,0
05/27/2020,56,1,0,7,29,78,1485,3,90,22,4,62,6287,24,0,2,0
05/28/2020,56,1,0,7,30,78,1514,3,91,22,4,62,6352,24,1,2,0
05/29/2020,57,1,0,7,30,78,1531,3,94,22,4,63,6457,24,2,2,0
05/30/2020,61,1,0,7,30,78,1548,3,95,22,4,63,6579,24,2,2,0
05/31/2020,62,1,0,7,31,78,1577,3,95,22,4,63,6657,24,2,2,0
06/01/2020,62,1,0,7,32,77,1585,3,98,22,4,63,6719,24,2,2,0
06/02/2020,65,1,0,8,32,78,1606,3,99,23,4,65,6845,25,2,2,0
06/03/2020,66,1,0,8,32,78,1618,3,99,23,4,65,6923,26,2,2,0
06/04/2020,67,1,0,10,35,78,1645,3,99,23,5,65,7056,26,3,2,0
06/05/2020,80,1,0,10,37,78,1685,3,102,23,4,67,7186,27,1,2,0
06/06/2020,81,1,0,10,38,78,1719,3,107,23,4,67,7331,27,3,2,0
06/07/2020,82,1,0,10,38,78,1743,3,109,23,4,67,7483,27,3,2,0
06/08/2020,85,1,0,10,38,78,1772,3,110,23,4,67,7592,27,3,2,0
06/09/2020,87,1,0,10,38,78,1788,3,111,23,4,67,7804,27,3,2,0
06/10/2020,89,1,0,10,38,78,1832,3,114,23,4,70,7915,33,4,2,0
06/11/2020,89,1,0,10,39,78,1893,3,115,23,4,70,8100,33,4,2,0
06/12/2020,89,1,0,10,39,78,1914,3,115,23,4,70,8314,37,5,2,0
06/13/2020,91,1,0,10,39,78,1955,3,115,23,4,73,8556,37,5,2,0
06/14/2020,91,1,0,10,42,78,1977,3,118,23,4,73,8735,37,5,2,0
06/15/2020,92,1,0,10,46,78,2003,3,123,23,4,74,8815,37,5,2,0
06/16/2020,92,1,0,10,47,78,2016,3,124,23,4,74,9157,37,5,2,0
06/17/2020,92,1,0,10,47,78,2023,3,124,23,4,75,9318,47,5,2,0
06/18/2020,94,1,0,10,47,79,2106,3,124,23,4,76,9535,55,5,2,0
06/19/2020,96,1,0,10,48,79,2137,3,126,24,4,77,9852,61,5,2,0
06/20/2020,98,1,0,10,49,79,2179,3,126,24,4,77,10259,61,5,2,0
06/21/2020,98,1,0,10,49,79,2209,3,127,24,4,78,10486,61,5,2,0
06/22/2020,99,1,0,10,52,79,2232,3,128,27,4,81,10774,76,7,2,0
06/23/2020,102,1,0,11,54,80,2286,3,132,28,4,81,11186,81,7,2,0
06/24/2020,102,2,0,11,58,81,2376,3,134,33,4,85,11481,81,7,2,0
06/25/2020,104,2,0,11,60,82,2404,3,139,32,4,85,11878,99,6,2,0
06/26/2020,107,2,0,11,60,81,2512,3,146,32,4,89,12204,99,6,2,1
06/27/2020,108,2,0,10,62,81,2573,3,147,32,4,90,13174,105,6,2,1
06/28/2020,110,2,0,10,64,82,2600,3,149,35,4,94,13910,115,6,2,1
06/29/2020,112,2,0,11,64,83,2656,4,151,35,5,108,14607,124,6,2,1
06/30/2020,115,2,0,11,65,83,2766,4,151,35,5,114,15095,127,6,2,1
07/01/2020,120,2,0,12,69,83,2804,4,155,35,5,118,15604,131,6,2,1
07/02/2020,123,2,0,13,70,85,2923,5,166,35,5,121,16180,134,6,2,1
07/03/2020,123,2,0,14,70,85,3073,6,167,35,5,126,17028,135,6,2,1
07/04/2020,126,2,0,16,72,84,3165,6,172,38,5,126,17707,140,9,2,1
07/05/2020,129,2,0,18,74,84,3258,6,180,38,5,126,18442,144,9,2,1
07/06/2020,131,2,0,18,76,84,3260,6,182,38,5,136,18818,162,9,2,1
07/07/2020,135,2,0,20,79,86,3295,6,185,38,5,169,19654,162,9,2,1
07/08/2020,135,2,0,20,79,86,3328,6,185,38,5,171,20126,185,9,2,1
07/09/2020,136,2,0,26,80,89,3459,6,194,38,5,186,20622,199,10,2,1
07/10/2020,140,2,0,26,82,90,3507,6,200,40,6,187,21449,213,10,2,1
